contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,diaSetmana,hora,seguidors,seguits,violento,KMeans_Clusters
0,0,23,32,10.728,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,6,79232,15237,348,0,2
0,0,22,31,11.194,6,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,77412,15237,348,0,2
0,0,21,30,11.236,6,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,6,75610,15237,348,0,2
0,0,19,27,9.259,5,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,73806,15237,348,0,2
0,0,22,31,10.075,6,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,72047,15237,348,0,2
0,0,21,31,12.03,5,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,5,0,0,6,70212,15237,348,0,2
0,0,22,33,12.36,6,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,68411,15237,348,0,2
0,0,19,27,12.36,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,54036,15237,348,0,2
0,0,20,30,14.885,9,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,43213,15237,348,0,2
0,0,19,27,11.111,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,36034,15237,348,0,1
0,0,23,31,8.679,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,28834,15237,348,0,1
1,0,19,22,7.143,1,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,7,0,0,6,25975,15237,348,0,1
0,0,20,27,8.55,4,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,4,0,0,5,82807,15237,348,0,2
0,0,23,31,10.409,7,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,81002,15237,348,0,2
